match,home_odds,draw_odds,away_odds,actual_home,actual_away
Czech Republic vs South Africa,1.77,3.80,4.84,,
Mexico vs South Korea,2.00,3.35,4.10,,
Canada vs Qatar,1.29,5.95,12.00,,
Switzerland vs Bosnia and Herzegovina,1.55,4.00,5.75,,
