match,home_odds,draw_odds,away_odds,actual_home,actual_away
Brazil vs Haiti,1.12,9.50,21.00,,
Scotland vs Morocco,5.50,3.65,1.74,,
USA vs Australia,1.67,3.55,4.65,,
Turkey vs Paraguay,2.05,3.30,3.80,,
